Time (h) 2022-10-13T07.07.00.130;ambient temperature (°C) Flask A1;ambient humidity (%) Flask A1;ambient pressure (mBar) Flask A1;CO2 conc. (%) Flask A1;O2 conc. (%) Flask A1;;Time (h) 2022-10-13T07.07.01.278;ambient temperature (°C) Flask A2;ambient humidity (%) Flask A2;ambient pressure (mBar) Flask A2;CO2 conc. (%) Flask A2;O2 conc. (%) Flask A2;;Time (h) 2022-10-13T07.07.01.594;ambient temperature (°C) Flask A3;ambient humidity (%) Flask A3;ambient pressure (mBar) Flask A3;CO2 conc. (%) Flask A3;O2 conc. (%) Flask A3;;Time (h) 2022-10-13T07.07.01.396;ambient temperature (°C) Flask A4;ambient humidity (%) Flask A4;ambient pressure (mBar) Flask A4;CO2 conc. (%) Flask A4;O2 conc. (%) Flask A4;;
0.00000;42.22;15.32;1015.82;0.051;20.378;;0.00000;42.53;15.90;1016.65;0.051;20.483;;0.00000;41.89;16.59;1015.59;0.054;20.894;;0.00000;41.71;21.60;1016.31;0.052;21.088;;
0.00139;42.23;15.36;1015.82;0.051;20.381;;0.00139;42.54;15.86;1016.65;0.052;20.488;;0.00139;41.90;16.58;1015.60;0.055;20.897;;0.00139;41.72;21.56;1016.30;0.052;21.090;;
0.00278;42.24;15.28;1015.82;0.051;20.386;;0.00278;42.55;15.77;1016.67;0.052;20.495;;0.00278;41.91;16.54;1015.60;0.055;20.900;;0.00278;41.73;21.60;1016.30;0.052;21.095;;
0.00417;42.25;15.31;1015.84;0.051;20.390;;0.00417;42.55;15.76;1016.67;0.052;20.497;;0.00417;41.92;16.60;1015.60;0.055;20.901;;0.00417;41.73;21.59;1016.29;0.052;21.098;;
0.00556;42.26;15.27;1015.82;0.051;20.393;;0.00556;42.56;15.51;1016.67;0.053;20.500;;0.00556;41.94;16.62;1015.62;0.055;20.903;;0.00556;41.75;21.57;1016.28;0.053;21.097;;
0.00694;42.28;15.24;1015.81;0.052;20.395;;0.00694;42.58;15.69;1016.65;0.053;20.503;;0.00694;41.96;16.58;1015.60;0.056;20.904;;0.00694;41.76;21.55;1016.27;0.053;21.096;;
0.00833;42.30;15.27;1015.84;0.052;20.396;;0.00833;42.59;15.51;1016.66;0.053;20.505;;0.00833;41.98;16.56;1015.60;0.056;20.906;;0.00833;41.77;21.61;1016.28;0.053;21.093;;
0.00972;42.33;15.24;1015.83;0.052;20.398;;0.00972;42.60;15.68;1016.64;0.053;20.509;;0.00972;42.00;16.34;1015.59;0.056;20.907;;0.00972;41.79;21.55;1016.27;0.053;21.092;;
0.01111;42.35;15.20;1015.82;0.053;20.400;;0.01111;42.62;15.62;1016.63;0.053;20.510;;0.01111;42.03;16.43;1015.61;0.056;20.908;;0.01111;41.80;21.60;1016.27;0.053;21.087;;
0.01250;42.38;15.23;1015.81;0.052;20.401;;0.01250;42.63;15.74;1016.63;0.053;20.514;;0.01250;42.06;16.55;1015.60;0.056;20.910;;0.01250;41.82;21.60;1016.26;0.054;21.085;;
0.01389;42.41;15.14;1015.78;0.053;20.404;;0.01389;42.65;15.85;1016.61;0.054;20.514;;0.01389;42.08;16.32;1015.56;0.056;20.910;;0.01389;41.84;21.60;1016.23;0.054;21.081;;
0.01528;42.44;15.17;1015.81;0.053;20.403;;0.01528;42.67;16.01;1016.62;0.054;20.515;;0.01528;42.11;16.17;1015.58;0.056;20.911;;0.01528;41.86;21.59;1016.25;0.054;21.077;;
0.01667;42.47;15.17;1015.82;0.053;20.405;;0.01667;42.68;15.75;1016.61;0.054;20.517;;0.01667;42.13;16.29;1015.58;0.056;20.912;;0.01667;41.87;21.59;1016.25;0.054;21.075;;
0.01806;42.50;15.19;1015.82;0.053;20.405;;0.01806;42.70;15.95;1016.64;0.054;20.516;;0.01806;42.16;16.12;1015.60;0.057;20.911;;0.01806;41.89;21.58;1016.27;0.054;21.072;;
0.01944;42.53;15.14;1015.81;0.053;20.405;;0.01944;42.72;15.84;1016.64;0.054;20.516;;0.01944;42.19;16.19;1015.59;0.057;20.910;;0.01944;41.91;21.58;1016.26;0.054;21.068;;
0.02083;42.56;15.13;1015.79;0.053;20.406;;0.02083;42.74;15.74;1016.62;0.054;20.516;;0.02083;42.21;16.06;1015.59;0.057;20.910;;0.02083;41.93;21.59;1016.26;0.055;21.065;;
0.02222;42.59;15.10;1015.79;0.053;20.405;;0.02222;42.77;15.76;1016.64;0.054;20.517;;0.02222;42.25;16.03;1015.58;0.057;20.910;;0.02222;41.95;21.57;1016.26;0.055;21.062;;
